"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021";"FScore_2016";"FScore_2017";"FScore_2018";"FScore_2019";"FScore_2020";"FScore_TTM";"FScore_2021";"Interest_Coverage_2016";"Interest_Coverage_2017";"Interest_Coverage_2018";"Interest_Coverage_2019";"Interest_Coverage_2020";"Interest_Coverage_TTM";"Interest_Coverage_2021"
"CUPUF";"Caribbean Utilities Co Ltd";"Utilities";"Utilities - Regulated";15,25;"Cayman Islands";1146;0,82;"0.74";"0.70";"0.77";"0.84";"0.74";NA;"6.00";"5.00";"6.00";"7.00";"6.00";7;NA;3,97;3,21;3,7;4,35;3,98;6,12;NA
"CURN";"Currency Exchange International Corp";"Financial Services";"Capital Markets";10,59;"USA";6096;-1,3;"0.58";"0.61";"0.67";"0.46";"-1.33";NA;"3.00";"7.00";"6.00";"5.00";"1.00";4;NA;57,98;42,59;20,34;18,74;NA;2,83;NA
"CUZ";"Cousins Properties Inc";"Real Estate";"REITs";38,92;"USA";912273;0,65;"1.24";"2.08";"0.75";"1.17";"1.60";NA;"5.00";"7.00";"6.00";"7.00";"4.00";4;NA;1,45;2,33;2,72;2,62;2,87;2,65;NA
"CVA";"Covanta Holding Corp";"Industrials";"Waste Management";20;"USA";2536844;0;"-0.03";"0.44";"1.15";"0.07";"-0.21";NA;"4.00";"6.00";"8.00";"5.00";"4.00";4;NA;0,93;0,7;1,03;0,64;0,66;0,78;NA
"CVGI";"Commercial Vehicle Group Inc";"Consumer Cyclical";"Vehicles & Parts";10,7;"USA";209742;0,42;"0.23";"-0.08";"1.36";"0.51";"-1.20";NA;"4.00";"5.00";"7.00";"4.00";"3.00";5;NA;1,29;1,57;4,29;2,41;0,28;5,79;NA
"CVGW";"Calavo Growers Inc";"Consumer Defensive";"Consumer Packaged Goods";46,67;"USA";164278;0,41;"2.18";"2.13";"1.84";"2.08";"-0.78";NA;"8.00";"4.00";"5.00";"7.00";"3.00";5;NA;80,81;56,59;68,03;72,75;NA;0,66;NA
"CVI";"CVR Energy Inc";"Energy";"Oil & Gas";14,13;"USA";869305;-2,08;"0.28";"3.03";"2.80";"3.78";"-2.54";NA;"4.00";"7.00";"7.00";"6.00";"3.00";4;NA;0,86;1,36;5,27;5,65;NA;0,21;NA
"CVLG";"Covenant Logistics Group Inc";"Industrials";"Transportation";24,79;"USA";96378;0,49;"0.92";"3.02";"2.30";"0.45";"-2.46";NA;"5.00";"7.00";"6.00";"3.00";"5.00";8;NA;3,94;3,41;7,59;0,87;0,71;23,23;NA
"CVMCA";"Sila Realty Trust Inc";"Real Estate";"REITs";5,82;"USA";30439;0,17;"0.05";"0.10";"0.13";"0.01";"0.17";NA;"N/A";"6.00";"5.00";"7.00";"7.00";7;NA;6,1;2,18;1,96;1,58;1,74;1,79;NA
"CVS";"CVS Health Corp";"Healthcare";"Healthcare Plans";84,6;"USA";5390042;5,45;"4.90";"6.44";"-0.57";"5.08";"5.46";NA;"5.00";"7.00";"5.00";"6.00";"5.00";4;NA;9,63;9,15;3,88;3,95;4,79;6,8;NA
