"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021"
"PPBT";"Purple Biotech Ltd";"Healthcare";"Biotechnology";"5,08";"Israel";224871;"-5,91";"-21.10";"-12.88";"-3.90";"-3.00";"-2.44";NA
"PPC";"Pilgrims Pride Corp";"Consumer Defensive";"Consumer Packaged Goods";"27,86";"USA";922997;"-0,12";"1.73";"2.79";"1.00";"1.83";"0.39";NA
"PPCCY";"PICC Property and Casualty Co Ltd";"Financial Services";"Insurance";"22,09";"China";4811;"4,21";"2.93";"3.38";"2.53";"3.89";"3.59";NA
"PPD";"PPD Inc";"Healthcare";"Drug Manufacturers";"46,34";"USA";1186180;"0,72";"0.57";"0.61";"0.30";"0.16";"0.35";NA
"PPERY";"PT Bank Mandiri (Persero) Tbk";"Financial Services";"Banks";"8,5";"Indonesia";92370;"0,57";"0.44";"0.65";"0.74";"0.85";"0.52";NA
"PPG";"PPG Industries Inc";"Basic Materials";"Chemicals";"160,86";"USA";1171191;"6,38";"3.27";"6.18";"5.47";"5.22";"4.45";NA
"PPHI";"Positive Physicians Holdings Inc";"Financial Services";"Insurance";"9,15";"USA";284;"-0,19";"0.17";NA;"-1.11";"-0.07";"-0.34";NA
"PPHOF";"Polyphor AG";"Healthcare";"Biotechnology";"2,5";"Switzerland";1000;"-4,37";"-3.83";"-6.40";"-5.48";"-5.95";"-4.56";NA
"PPL";"PPL Corp";"Utilities";"Utilities - Regulated";"29,39";"USA";4394347;"-1,61";"2.79";"1.64";"2.58";"2.37";"1.91";NA
"PPLFY";"PT PP London Sumatra Indonesia Tbk";"Consumer Defensive";"Consumer Packaged Goods";"3,91";"Indonesia";2469;"0,56";"0.32";"0.40";"0.17";"0.13";"0.36";NA
"PPRQF";"Choice Properties Real Estate Investment Trust";"Real Estate";"REITs";"11,76";"Canada";2431;"0,56";"-1.81";"3.36";"1.74";"-1.42";"1.08";NA
"PPRUF";"Kering SA";"Consumer Cyclical";"Retail - Cyclical";"790,08";"France";236;"32,55";"6.81";"16.77";"33.55";"20.44";"20.93";NA
"PPSI";"Pioneer Power Solutions Inc";"Industrials";"Industrial Products";"3,99";"USA";233331;"0,03";"-0.12";"-1.06";"-0.65";"-0.12";"-0.34";NA
"PPTA";"Perpetua Resources Corp";"Basic Materials";"Metals & Mining";"5";"USA";245453;"-4,54";"-2.70";"-0.50";"-2.20";"-0.44";"-6.45";NA
"PRA";"ProAssurance Corp";"Financial Services";"Insurance";"25,7";"USA";204682;"-0,68";"2.83";"2.00";"0.88";"0.02";"-3.26";NA
"PRAA";"PRA Group Inc";"Financial Services";"Credit Services";"42,31";"USA";223090;"4,06";"1.86";"3.59";"1.44";"1.89";"3.26";NA
"PRBZF";"Premium Brands Holdings Corp";"Consumer Defensive";"Consumer Packaged Goods";"105,8";"Canada";1825;"1,99";"1.78";"2.11";"2.25";"1.78";"1.68";NA
"PRDO";"Perdoceo Education Corp";"Consumer Defensive";"Education";"10,99";"USA";366801;"1,74";"-0.27";"-0.46";"0.77";"0.97";"1.74";NA
"PRDSF";"Prada SpA";"Consumer Cyclical";"Retail - Cyclical";"5,98";"Italy";651;"-0,02";"0.14";"0.12";"0.09";"0.11";"-0.03";NA
"PREKF";"PrairieSky Royalty Ltd";"Energy";"Oil & Gas";"10,9";"Canada";5833;"0,24";"0.07";"0.40";"0.25";"0.36";"0.11";NA
"PRFT";"Perficient Inc";"Technology";"Software";"118,28";"USA";402058;"1,35";"0.58";"0.55";"0.73";"1.15";"0.93";NA
"PRG";"PROG Holdings Inc";"Industrials";"Business Services";"46,66";"USA";419950;"4,38";"1.91";"4.06";"2.78";"0.47";"-0.91";NA
"PRGO";"Perrigo Co PLC";"Healthcare";"Drug Manufacturers";"40,75";"Ireland";1418559;"-2,56";"-28.01";"0.84";"0.95";"1.07";"-1.19";NA
"PRGS";"Progress Software Corp";"Technology";"Software";"46,79";"USA";262757;"1,64";"-1.13";"0.60";"1.08";"0.58";"1.76";NA
"PRI";"Primerica Inc";"Financial Services";"Insurance";"153,39";"USA";89003;"11,01";"4.59";"7.61";"7.33";"8.62";"9.57";NA
"PRIM";"Primoris Services Corp";"Industrials";"Construction";"25,96";"USA";376760;"2,35";"0.51";"1.40";"1.50";"1.61";"2.16";NA
"PRK";"Park National Corp";"Financial Services";"Banks";"117,73";"USA";29879;"9,64";"5.59";"5.47";"7.07";"6.29";"7.80";NA
"PRKR";"Parkervision Inc";"Technology";"Semiconductors";"1,2";"USA";57009;"-0,26";"-1.76";"-1.09";"-0.85";"-0.30";"-0.42";NA
"PRKWF";"Parkway Life Real Estate Investment Trust";"Real Estate";"REITs";"3,7";"Singapore";520;"0,11";"0.11";"0.13";"0.18";"0.15";"0.11";NA
"PRLB";"Proto Labs Inc";"Industrials";"Industrial Products";"72,61";"USA";300090;"1,51";"1.61";"1.93";"2.81";"2.35";"1.89";NA
"PRLE";"Pillarstone Capital REIT";"Real Estate";"REITs";"2";"USA";255;"-0,31";"-1.15";"0.07";"0.44";"1.02";NA;NA
"PRMRF";"Paramount Resources Ltd";"Energy";"Oil & Gas";"10,72";"Canada";5834;"0,74";"8.21";"2.28";"-2.07";"-0.51";"-0.13";NA
"PRO";"Pros Holdings Inc";"Technology";"Software";"43,5";"USA";168021;"-1,77";"-2.47";"-2.46";"-1.86";"-1.72";"-1.78";NA
"PROBF";"Probe Metals Inc";"Basic Materials";"Metals & Mining";"1,57";"Canada";48072;"-0,06";"-0.52";"-0.09";"-0.15";"-0.03";"-0.09";NA
"PROF";"Profound Medical Corp";"Healthcare";"Medical Devices & Instruments";"15,01";"Canada";79478;"-1,42";"-2.90";"-2.47";"-1.52";"-1.37";"-1.25";NA
"PROS";"ProSight Global Inc";"Financial Services";"Insurance";"12,85";"USA";80124;"1,13";"-2.33";"-1.02";"1.27";"0.94";"0.50";NA
"PRPH";"ProPhase Labs Inc";"Healthcare";"Drug Manufacturers";"5,45";"USA";133156;"-0,15";"-0.17";"2.59";"-0.15";"-0.27";"-0.18";NA
"PRPL";"Purple Innovation Inc";"Consumer Cyclical";"Furnishings, Fixtures & Appliances";"24,31";"USA";789248;"0,15";"-0.49";"-1.05";"-0.51";"-2.26";"-6.04";NA
"PRPO";"Precipio Inc";"Healthcare";"Medical Diagnostics & Research";"3,31";"USA";782376;"-0,54";"-141.60";"-107.40";"-13.82";"-2.33";"-0.85";NA
"PRQR";"ProQR Therapeutics NV";"Healthcare";"Biotechnology";"6,47";"Netherlands";750864;"-1,21";"-1.76";"-2.04";"-1.23";"-1.53";"-1.13";NA
